CourseId,Identifier,ContentType,Content
26,1,SLIDES,/University/COMP6741/Lectures/slides01.pdf
26,2,SLIDES,/University/COMP6741/Lectures/slides02.pdf
26,3,SLIDES,/University/COMP6741/Lectures/slides03.pdf
26,4,SLIDES,/University/COMP6741/Lectures/slides04.pdf
26,5,SLIDES,/University/COMP6741/Lectures/slides05.pdf
26,6,SLIDES,/University/COMP6741/Lectures/slides06.pdf
26,7,SLIDES,/University/COMP6741/Lectures/slides07.pdf
26,8,SLIDES,/University/COMP6741/Lectures/slides08.pdf
26,1,WORKSHEET,/University/COMP6741/Worksheets/worksheet01.pdf
26,2,WORKSHEET,/University/COMP6741/Worksheets/worksheet02.pdf
26,3,WORKSHEET,/University/COMP6741/Worksheets/worksheet03.pdf
26,4,WORKSHEET,/University/COMP6741/Worksheets/worksheet04.pdf
26,5,WORKSHEET,/University/COMP6741/Worksheets/worksheet05.pdf
26,6,WORKSHEET,/University/COMP6741/Worksheets/worksheet06.pdf
26,7,WORKSHEET,/University/COMP6741/Worksheets/worksheet07.pdf
26,1,READING,https://plato.stanford.edu/entries/artificial-intelligence/
26,1,READING,https://en.wikipedia.org/wiki/ELIZA
26,1,READING,https://en.wikipedia.org/wiki/Watson_(computer)
26,2,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
26,3,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
26,4,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
26,5,READING,https://concordiauniversity.on.worldcat.org/oclc/897466408
26,6,READING,https://concordiauniversity.on.worldcat.org/oclc/314121652
26,6,READING,http://informationretrieval.org/
26,7,READING,https://concordiauniversity.on.worldcat.org/oclc/960211579
26,8,READING,https://concordiauniversity.on.worldcat.org/oclc/1102387045
26,1,OTHER,https://venturebeat.com/2017/06/26/bot-analytics-platform-releases-new-chatbot-landscape/
26,1,OTHER,https://chatbotslife.com/ultimate-guide-to-leveraging-nlp-machine-learning-for-you-chatbot-531ff2dd870c
26,1,OTHER,http://www.aaai.org/Magazine/Watson/watson.php
26,2,OTHER,http://www.w3.org/TR/rdf11-primer/
26,2,OTHER,https://encore.concordia.ca/iii/encore/record/C__Rb2591108?lang=eng
26,2,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
26,2,OTHER,https://www.youtube.com/watch?v=2ZzGMzitNgo
26,3,OTHER,https://mercury.concordia.ca/record=b2680281
26,3,OTHER,http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
26,3,OTHER,http://www.w3.org/TR/rdf11-primer/
26,4,OTHER,https://www.w3.org/TR/sparql11-overview/
26,4,OTHER,https://concordiauniversity.on.worldcat.org/oclc/769756125
