 "cname" , "uri" , "lectureNum" , "source" ,
 "COMP6741" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 11" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 8" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 7" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 4" , "WORKSHEET" ,
 "COMP6741" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 10" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 9" , "LAB" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 9" , "WORKSHEET" ,
 "COMP6741" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 3" , "SLIDES" ,
 "COMP6741" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 1" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 5" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 1" , "LAB" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 4" , "SLIDES" ,
 "COMP6741" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 7" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 1" , "SLIDES" ,
 "COMP6721" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 2" , "SLIDES" ,
